"";"position";"rank";"name";"uri";"imageUri";"industry";"country";"revenue";"marketValue";"headquarters";"ceo";"profits";"assets";"state";"thumbnail";"squareImage"
"1050";335;335;"Kinder Morgan";"kinder-morgan";"kinder-morgan";"Oil Services & Equipment";"United States";14244;43891;"Texas";"Steven J. Kean";1632;76292;"Texas";NA;NA
"1051";1704;1704;"Kingboard Holdings";"kingboard-holdings";"no-pic";"Specialized Chemicals";"Hong Kong";5868;3838;"Hong Kong";"Chang Wing Yiu";775;12061;NA;"http://specials-images.forbesimg.com/imageserve/5d5eb88695808800097d96a9/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d5eb88695808800097d96a9/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1052";1504;1504;"Kingfisher";"kingfisher";"kingfisher";"Home Improvement Retail";"United Kingdom";15489;7259;"United Kingdom";"Véronique Laury-Deroubaix";289;13154;NA;NA;NA
"1053";1399;1399;"Kintetsu";"kintetsu";"kintetsu";"Railroads";"Japan";11087;8198;"Japan";"Tetsuya Kobayashi";314;17530;NA;NA;NA
"1054";576;576;"Kirin Holdings";"kirin-holdings";"kirin-holdings";"Beverages";"Japan";17480;19630;"Japan";"Yoshinori Isozaki";1483;20996;NA;NA;NA
"1055";1849;1849;"Kiyo Bank";"kiyo-bank";"kiyo-bank";"Regional Banks";"Japan";652;936;"Japan";"Byung-Yong Lim";96;42175;NA;NA;NA
"1056";1091;1091;"Klepierre";"klepierre";"klepierre";"Real Estate";"France";1382;10650;"France";"Jean-Marc Jestin";823;29216;NA;NA;NA
"1057";1113;1113;"Knorr-Bremse";"knorr-bremse";"no-pic";NA;"Germany";7033;18088;"Germany";"Klaus Mangold";743;7113;NA;NA;NA
"1058";1161;1161;"Kobe Steel";"kobe-steel";"kobe-steel";"Iron & Steel";"Japan";17658;2830;"Japan";"Mitsugu Yamaguchi";474;21278;NA;NA;NA
"1059";885;885;"Kohl's";"kohls";"kohls";"Department Stores";"United States";20229;11482;"Wisconsin";"Michelle D. Gass";800;12469;"Wisconsin";NA;NA
"1060";1301;1300;"Koito Manufacturing";"koito-manufacturing";"no-pic";"Auto & Truck Parts";"Japan";7388;9812;"Japan";"Takashi Ohtake";787;6450;NA;NA;NA
"1061";394;394;"Komatsu";"komatsu";"komatsu";"Heavy Equipment";"Japan";24573;23746;"Japan";"Hiroyuki Ogawa";2042;31986;NA;NA;NA
"1062";840;840;"Kone";"kone";"kone";"Construction Services";"Finland";10701;27892;"Finland";"Henrik Ehrnrooth";992;8841;NA;NA;NA
"1063";1857;1856;"Konica Minolta Business Solutions";"konica-minolta";"konica-minolta";"Consumer Electronics";"Japan";9585;4894;"Japan";"Shoei Yamana";429;11036;NA;NA;NA
"1064";588;588;"Korea Electric Power";"korea-electric-power";"korea-electric-power";"Electric Utilities";"South Korea";55090;16289;"South Korea";"Jong-Kap Kim";-1194;166024;NA;NA;NA
"1065";984;984;"Korea Gas";"korea-gas";"korea-gas";"Natural Gas Utilities";"South Korea";23791;3530;"South Korea";"Won-Gi Ahn";459;35571;NA;NA;NA
"1066";1441;1441;"Korea Investment Holdings";"korea-investment-holdings";"no-pic";"Investment Services";"South Korea";2254;3616;"South Korea";"Nam-Goo Kim";481;57361;NA;NA;NA
"1067";1989;1989;"Korea Zinc";"korea-zinc";"korea-zinc";"Diversified Metals & Mining";"South Korea";6255;7104;"South Korea";"Choi Yun-Birm";479;6476;NA;"http://specials-images.forbesimg.com/imageserve/5d604112fead28000891fa8e/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d604112fead28000891fa8e/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1068";1446;1446;"Korean Air";"korean-air";"korean-air";"Airline";"South Korea";11831;2996;"South Korea";"Won-Tae Cho";-175;22925;NA;NA;NA
"1069";611;611;"Kotak Mahindra Bank";"kotak-mahindra-bank";"kotak-mahindra-bank";"Regional Banks";"India";6285;37893;"India";"Uday Kotak";1016;50107;NA;NA;NA
"1070";745;744;"Koç Holding";"koc-holding";"koc-holding";"Conglomerates";"Turkey";29534;7363;"Turkey";"Levent Çakiroglu";1142;23549;NA;NA;NA
"1071";548;548;"Kraft Heinz Company";"kraft-heinz-company";"kraft-heinz-company";"Food Processing";"United States";26259;40192;"Illinois";"Bernardo Vieira Hees";-10229;103627;"Illinois";NA;NA
"1072";296;296;"Kroger";"kroger";"kroger";"Food Retail";"United States";121162;20581;"Ohio";"W. Rodney Rodney McMullen";3076;38701;"Ohio";NA;NA
"1073";972;972;"Krung Thai Bank";"krung-thai-bank";"krung-thai-bank";"Regional Banks";"Thailand";4891;8478;"Thailand";"Krairit Euchukanonchai";881;84278;NA;NA;NA
"1074";564;564;"Kubota";"kubota";"kubota";"Heavy Equipment";"Japan";16754;18044;"Japan";"Masatoshi Kimata";1255;26393;NA;NA;NA
"1075";839;838;"Kuehne & Nagel International";"kuehne-nagel-international";"no-pic";"Other Transportation";"Switzerland";21227;17171;"Switzerland";"Detlef A. Trefzger";787;7991;NA;NA;NA
"1076";874;874;"Kuwait Finance House";"kuwait-finance-house";"kuwait-finance-house";"Regional Banks";"Kuwait";3236;15543;"Kuwait";"Mazen Saad Ali Saad El-Nahedh";753;58522;NA;NA;NA
"1077";1949;1949;"Kuwait Projects";"kuwait-projects";"kuwait-projects";"Investment Services";"Kuwait";2438;1045;"Kuwait";"Hamad Sabah Al Ahman Al Sabah";70;34152;NA;NA;NA
"1078";419;419;"Kweichow Moutai";"kweichow-moutai";"kweichow-moutai";"Beverages";"China";9961;177142;"China";"Bao Fang Li";5320;23282;NA;NA;NA
"1079";655;655;"Kyocera";"kyocera";"kyocera";"Electronics";"Japan";14908;22119;"Japan";"Goro Yamaguchi";642;27533;NA;NA;NA
"1080";1097;1096;"Kyushu Electric Power";"kyushu-electric-power";"kyushu-electric-power";"Electric Utilities";"Japan";18302;4895;"Japan";"Masayoshi Nuki";360;42502;NA;NA;NA
"1081";1590;1590;"Kyushu Financial Group";"kyushu-financial-group";"no-pic";"Regional Banks";"Japan";1493;1844;"Japan";"Takahiro Kai";154;95202;NA;NA;NA
"1082";1311;1311;"L Brands";"l-brands";"l-brands";"Apparel/Footwear Retail";"United States";13237;7067;"Ohio";"Leslie H. Herbert Wexner";644;8090;"Ohio";"http://specials-images.forbesimg.com/imageserve/5b96d6094bbe6f30c1b17a64/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5b96d6094bbe6f30c1b17a64/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1083";201;201;"L'Oréal";"loreal";"loreal";"Household/Personal Care";"France";31779;153010;"France";"Jean-Paul Agon";4596;43963;NA;"http://specials-images.forbesimg.com/imageserve/5cd435e1169cc600095ec19c/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd435e1169cc600095ec19c/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1084";907;907;"L3Harris Technologies";"l3harris-technologies";"no-pic";"Aerospace & Defense";"United States";10244;17027;"New York";"Christopher E. Kubasik";771;13518;"New York";NA;NA
"1085";1287;1287;"LARGAN Precision";"largan-precision";"largan-precision";"Electrical Equipment";"Taiwan";1656;20139;"Taiwan";"Lin En-Ping";808;4316;NA;"http://specials-images.forbesimg.com/imageserve/5d604f9668cb0a0008c03d77/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d604f9668cb0a0008c03d77/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1086";1571;1571;"LEG Immobilien AG";"leg-immobilien-ag";"no-pic";"Real Estate";"Germany";890;7378;"Germany";"Thomas Hegel";995;12930;NA;NA;NA
"1087";763;763;"LG";"lg";"no-pic";"Household Appliances";"South Korea";9700;11455;"South Korea";"Hyun-He Ha";1694;20466;NA;NA;NA
"1088";468;468;"LG Chem";"lg-chem";"lg-chem";"Specialized Chemicals";"South Korea";25609;24864;"South Korea";"Hak Cheol Shin";1338;25940;NA;NA;NA
"1089";1116;1116;"LG Display";"lg-display";"lg-display";"Electronics";"South Korea";22114;6845;"South Korea";"Sang-Beom Han";-188;29733;NA;NA;NA
"1090";502;502;"LG Electronics";"lg-electronics";"lg-electronics";"Consumer Electronics";"South Korea";55739;11719;"South Korea";"Seong-Jin Cho";1127;39728;NA;NA;NA
"1091";1216;1215;"LG Household & Health Care";"lg-household-health-care";"lg-household-health-care";"Household/Personal Care";"South Korea";6131;20720;"South Korea";"Cha Suk-Yong";620;4728;NA;"http://specials-images.forbesimg.com/imageserve/5cd435825218470008b038d6/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd435825218470008b038d6/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1092";1639;1639;"LG Uplus";"lg-uplus";"lg-uplus";"Telecommunications services";"South Korea";11018;5530;"South Korea";"Hyun-He Ha";438;12493;NA;NA;NA
"1093";1286;1286;"LKQ";"lkq";"lkq";"Auto & Truck Parts";"United States";11877;9681;"Illinois";"Dominick Paul Zarcone";485;11393;"Illinois";NA;NA
"1094";833;833;"LabCorp";"labcorp";"labcorp";"Healthcare Services";"United States";11333;14330;"North Carolina";"David P. P. King";884;16185;"North Carolina";NA;NA
"1095";321;321;"LafargeHolcim";"holcim";"holcim";"Construction Materials";"Switzerland";28065;31257;"Switzerland";"Jan Jenisch";1535;60555;NA;"http://specials-images.forbesimg.com/imageserve/59e4fb5d31358e542c03c840/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/59e4fb5d31358e542c03c840/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1096";704;704;"Lam Research";"lam-research";"lam-research";"Semiconductors";"United States";10866;29721;"California";"Tim Brian Archer";2902;10768;"California";NA;NA
"1097";1950;1949;"Land Securities Group";"land-securities-group";"land-securities-group";"Real Estate";"United Kingdom";1121;8774;"United Kingdom";"Robert Montague Noel";-234;18675;NA;NA;NA
"1098";1982;1982;"Lanxess";"lanxess";"lanxess";"Diversified Chemicals";"Germany";9374;5633;"Germany";"Matthias Zachert";402;10283;NA;NA;NA
"1099";438;438;"Larsen & Toubro";"larsen-toubro";"larsen-toubro";"Construction Services";"India";19981;27526;"India";"Sekharipuram Narayan Subrahmanyan";1264;36112;NA;NA;NA
"1100";491;491;"Las Vegas Sands";"las-vegas-sands";"las-vegas-sands";"Casinos & Gaming";"United States";13796;52721;"Nevada";"Sheldon Gary Adelson";1539;22547;"Nevada";NA;NA
"1101";1624;1622;"Latam Airlines";"latam-airlines";"latam-airlines";"Airline";"Chile";9896;6528;"Chile";"Enrique Miguel Cueto";190;17567;NA;NA;NA
"1102";1940;1940;"Laurentian Bank";"laurentian-bank";"laurentian-bank";"Regional Banks";"Canada";1414;1318;"Canada";"François Desjardins";157;34356;NA;NA;NA
"1103";884;884;"Lear";"lear";"lear";"Auto & Truck Parts";"United States";21151;9851;"Michigan";"Raymond E. Scott";1139;11601;"Michigan";NA;NA
"1104";272;271;"Legal & General Group";"legal-general-group";"legal-general-group";"Life & Health Insurance";"United Kingdom";17482;22582;"United Kingdom";"Nigel D. Wilson";2436;621237;NA;NA;NA
"1105";677;677;"Legend Holding";"legend-holding";"legend-holding";"Computer Hardware";"China";54074;6457;"China";"Li Nan Zhu";668;81312;NA;NA;NA
"1106";1014;1014;"Legrand";"legrand";"legrand";"Electrical Equipment";"France";7075;19271;"France";"Benoît Coquart";910;11782;NA;NA;NA
"1107";1304;1304;"Leidos";"leidos";"leidos";"Aerospace & Defense";"United States";10194;9372;"Virginia";"Roger A. Krone";581;8992;"Virginia";NA;NA
"1108";1871;1871;"Lendlease Group";"lendlease-group";"no-pic";"Real Estate";"Australia";11687;5133;"Australia";"Stephen Barry Mccann";286;12290;NA;"http://specials-images.forbesimg.com/imageserve/5d5d9c8e95808800097d80f8/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d5d9c8e95808800097d80f8/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1109";496;496;"Lennar";"lennar";"lennar";"Construction Services";"United States";21446;17099;"Florida";"Richard Beckwitt";1784;28750;"Florida";NA;NA
"1110";699;699;"Lenovo Group";"lenovo-group";"lenovo-group";"Computer Hardware";"Hong Kong";49966;11180;"Hong Kong";"Yuan Qing Yang";511;31279;NA;"http://specials-images.forbesimg.com/imageserve/59e64de54bbe6f37dda0a357/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/59e64de54bbe6f37dda0a357/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400"
"1111";980;980;"Leonardo";"leonardo";"leonardo";"Aerospace & Defense";"Italy";14440;6861;"Italy";"Alessandro Profumo";600;29172;NA;NA;NA
"1112";1947;1947;"Li & Fung";"li-fung";"li-fung";"Trading Companies";"Hong Kong";12701;1546;"Hong Kong";"Spencer Theodore Fung";103;5341;NA;NA;NA
"1113";1812;1812;"Liberbank";"liberbank";"liberbank";"Regional Banks";"Spain";905;1445;"Spain";"Manuel Menéndez Menéndez";130;45451;NA;NA;NA
"1114";1798;1796;"Liberty Broadband";"liberty-broadband";"liberty-broadband";"Telecommunications services";"United States";22;17385;"Colorado";"Gregory Ben Maffei";70;12154;"Colorado";NA;NA
"1115";1335;1335;"Liberty Expedia Holdings";"liberty-expedia-holdings";"liberty-expedia-holdings";"Business & Personal Services";"United States";11449;2555;"Colorado";"Christopher W. Shean";-128;32434;"Colorado";NA;NA
"1116";764;764;"Liberty Global";"liberty-global";"liberty-global";"Broadcasting & Cable";"United Kingdom";13020;22369;"United Kingdom";"Michael Thomas Fries";-373;53154;NA;NA;NA
"1117";386;386;"Lincoln National";"lincoln-national";"lincoln-national";"Life & Health Insurance";"United States";16197;13536;"North Carolina";"Dennis R. Glass";1641;299336;"North Carolina";"http://specials-images.forbesimg.com/imageserve/59d3c8e9a7ea436b47b36189/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/59d3c8e9a7ea436b47b36189/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1118";219;219;"Linde";"linde";"linde";"Diversified Chemicals";"United Kingdom";14900;98302;"United Kingdom";"Stephen F. Angel";4381;93386;NA;NA;NA
"1119";1529;1529;"Lindt & Sprungli";"lindt-sprungli";"lindt-sprungli";"Food Processing";"Switzerland";4407;18601;"Switzerland";"Dieter R. Weisskopf";496;7473;NA;NA;NA
"1120";698;698;"Link REIT";"link-reit";"link-reit";"Real Estate";"Hong Kong";1287;24467;"Hong Kong";"Kwok Lung Hongchoy";5727;27511;NA;"http://specials-images.forbesimg.com/imageserve/5c891f8d31358e35dd28ddaf/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5c891f8d31358e35dd28ddaf/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1121";1693;1693;"Liuzhou Iron & Steel";"liuzhou-iron-steel";"no-pic";"Iron & Steel";"China";7117;2897;"China";"Liao Zhi Gang";697;3634;NA;NA;NA
"1122";1409;1409;"Live Nation Entertainment";"live-nation-entertainment";"live-nation-entertainment";"Diversified Media";"United States";10788;13782;"California";"Michael Rapino";-18;8497;"California";"http://specials-images.forbesimg.com/imageserve/5b4f54c331358e0429c38a21/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5b4f54c331358e0429c38a21/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1123";1890;1890;"LiveRamp Holdings";"liveramp-holdings";"no-pic";NA;"United States";617;3832;"California";"Scott E. Howe";1079;1928;"California";NA;NA
"1124";1411;1411;"Lixil Group";"lixil-group";"lixil-group";"Construction Materials";"Japan";15906;4252;"Japan";"Kinya Seto";163;19038;NA;NA;NA
"1125";90;90;"Lloyds Banking Group";"lloyds-banking-group";"lloyds-banking-group";"Major Banks";"United Kingdom";35242;60895;"United Kingdom";"António Horta-Osório";5300;1015821;NA;NA;NA
"1126";181;181;"Lockheed Martin";"lockheed-martin";"lockheed-martin";"Aerospace & Defense";"United States";53762;88875;"Maryland";"Marillyn A. Hewson";5046;44876;"Maryland";NA;NA
"1127";597;595;"Loews";"loews";"loews";"Diversified Insurance";"United States";14065;14958;"New York";"Jim Tisch";636;78316;"New York";NA;NA
"1128";957;957;"Logan Property Holdings";"logan-property-holdings";"logan-property-holdings";"Real Estate";"China";6793;9057;"China";"Jian De Ji";1222;24775;NA;"http://specials-images.forbesimg.com/imageserve/5a1470a831358e2864704e57/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5a1470a831358e2864704e57/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1129";729;729;"London Stock Exchange";"london-stock-exchange";"london-stock-exchange";"Investment Services";"United Kingdom";2847;22423;"United Kingdom";"David Adam Schwimmer";640;1073449;NA;NA;NA
"1130";345;345;"Longfor Group Holdings";"longfor-group-holdings";"no-pic";"Real Estate";"China";17281;21310;"China";"Ming Xiao Shao";2428;73828;NA;NA;NA
"1131";1794;1794;"Longi Green Energy Technology";"longi-green-energy-technology";"longi-green-energy-technology";"Semiconductors";"China";3065;12515;"China";"Li Zhenguo";461;5644;NA;"http://specials-images.forbesimg.com/imageserve/5d5ea3d895808800097d92bb/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d5ea3d895808800097d92bb/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1132";1138;1137;"Lonza Group";"lonza-group";"no-pic";"Specialized Chemicals";"Switzerland";5663;21786;"Switzerland";"Marc Funk";571;14122;NA;NA;NA
"1133";1861;1860;"Lotte";"lotte";"no-pic";"Food Processing";"South Korea";6607;3214;"South Korea";"Gak-Gyu Hwang";168;21701;NA;NA;NA
"1134";799;799;"Lotte Chemical";"lotte-chemical";"lotte-chemical";"Specialized Chemicals";"South Korea";15034;8501;"South Korea";"Gyo-Hyeon Kim";1435;18641;NA;NA;NA
"1135";1326;1326;"Lotte Shopping";"lotte-shopping";"lotte-shopping";"Department Stores";"South Korea";16213;4451;"South Korea";"Hee-Tae Gang";-660;23534;NA;NA;NA
"1136";234;234;"Lowe's";"lowes";"lowes";"Home Improvement Retail";"United States";71310;90528;"North Carolina";"Marvin R. Ellison";2307;34641;"North Carolina";"http://specials-images.forbesimg.com/imageserve/5a037fe44bbe6f37dda206dd/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5a037fe44bbe6f37dda206dd/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1137";97;97;"LukOil";"lukoil";"lukoil";"Oil & Gas Operations";"Russia";127914;61103;"Russia";"Vagit Yusufovich Alekperov";9856;82632;NA;NA;NA
"1138";1480;1480;"Lululemon Athletica";"lululemon-athletica";"lululemon-athletica";"Apparel/Footwear Retail";"Canada";3288;22522;"Canada";"Calvin McDonald";484;2085;NA;NA;NA
"1139";1967;1967;"Lundbergs";"lundbergs";"lundbergs";"Real Estate";"Sweden";2498;8211;"Sweden";"Lars Fredrik Elis Lundberg";412;15311;NA;NA;NA
"1140";1614;1614;"Luxshare Precision Industry";"luxshare-precision-industry";"luxshare-precision-industry";"Electronics";"China";5393;15986;"China";"Wang Laichun";411;5308;NA;"http://specials-images.forbesimg.com/imageserve/5d5ea5922dedcb0008e0d36f/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d5ea5922dedcb0008e0d36f/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1141";1877;1877;"Luzerner Kantonalbank";"luzerner-kantonalbank";"luzerner-kantonalbank";"Regional Banks";"Switzerland";619;3973;"Switzerland";"Daniel Salzmann";203;39728;NA;NA;NA
"1142";1602;1602;"Luzhou Lao Jiao";"luzhou-lao-jiao";"no-pic";"Beverages";"China";1657;15106;"China";"Feng Lin";504;2872;NA;NA;NA
"1143";1951;1949;"Lyft";"lyft";"no-pic";"Software & Programming";"United States";2157;16684;"California";"Logan Green";-911;3760;"California";NA;NA
"1144";309;309;"LyondellBasell Industries";"lyondellbasell-industries";"lyondellbasell-industries";"Diversified Chemicals";"United Kingdom";39001;33992;"United Kingdom";"Bhavesh Vaghjibhai Patel";4684;28278;NA;NA;NA
"1145";514;514;"M&T Bank";"mt-bank";"mt-bank";"Regional Banks";"United States";6608;22732;"New York";NA;2040;120025;"New York";NA;NA
"1146";843;842;"MGM Resorts";"mgm-resorts";"mgm-resorts";"Casinos & Gaming";"United States";11763;14776;"Nevada";"James J. Joseph Murren";452;31038;"Nevada";NA;NA
"1147";886;886;"MOL Hungarian Oil";"mol-hungarian-oil";"mol-hungarian-oil";"Oil & Gas Operations";"Hungary";19117;7381;"Hungary";"Zsolt Hernádi";1114;16433;NA;NA;NA
"1148";264;263;"MS&AD Insurance";"msad-insurance";"msad-insurance";"Property & Casualty Insurance";"Japan";46230;18020;"Japan";"Yasuyoshi Karasawa";2096;206562;NA;NA;NA
"1149";1511;1511;"MSCI";"msci";"no-pic";"Business & Personal Services";"United States";1434;18665;"New York";"Henry A. Fernandez";508;3388;"New York";NA;NA
"1150";936;936;"MTN Group";"mtn-group";"mtn-group";"Telecommunications services";"South Africa";10154;13464;"South Africa";"Robert Andrew Shuter";658;17004;NA;NA;NA
"1151";551;551;"MTR";"mtr";"mtr";"Railroads";"Hong Kong";6881;37070;"Hong Kong";"Chak-pui Kam";2042;35084;NA;NA;NA
"1152";1569;1569;"MTU Aero Engines AG";"mtu-aero-engines-ag";"no-pic";"Aerospace & Defense";"Germany";5388;11913;"Germany";"Egon Behle";527;8216;NA;NA;NA
"1153";1296;1296;"Maanshan Iron & Steel";"maanshan-iron-steel";"maanshan-iron-steel";"Iron & Steel";"China";12279;4034;"China";"Hai Fan Qian";907;11197;NA;NA;NA
"1154";348;348;"Macquarie Group";"macquarie-group";"macquarie-group";"Investment Services";"Australia";11260;30808;"Australia";"Shemara Wikramanayake";1907;148760;NA;NA;NA
"1155";786;786;"Macy's";"macys";"macys";"Department Stores";"United States";25740;7731;"Ohio";"Jeffrey Gennette";1107;19863;"Ohio";NA;NA
"1156";427;427;"Magna International";"magna-international";"magna-international";"Auto & Truck Parts";"Canada";40799;18342;"Canada";"Donald J. Walker";2291;25945;NA;NA;NA
"1157";1370;1370;"Magnit";"magnit";"magnit";"Food Retail";"Russia";19691;5726;"Russia";"Olga Valerievna Naumova";539;8816;NA;NA;NA
"1158";1238;1237;"Magnitogorsk Iron & Steel";"magnitogorsk-iron";"magnitogorsk-iron";"Iron & Steel";"Russia";8203;7723;"Russia";"Pavel Vladimirovich Shilyaev";1316;7249;NA;NA;NA
"1159";973;973;"Mahindra & Mahindra";"mahindra-mahindra";"mahindra-mahindra";"Auto & Truck Manufacturers";"India";15189;12252;"India";"Pawan Kumar Goenka";833;NA;NA;"http://specials-images.forbesimg.com/imageserve/5a2eaa9b4bbe6f703b4adab5/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5a2eaa9b4bbe6f703b4adab5/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1160";1893;1892;"Makita";"makita";"makita";"Household/Personal Care";"Japan";4428;9984;"Japan";"Masahiko Goto";508;5923;NA;NA;NA
"1161";1330;1330;"Manpower";"manpower";"manpower";"Business & Personal Services";"United States";21991;5826;"Wisconsin";"Jonas Prising";557;8520;"Wisconsin";NA;NA
"1162";166;166;"Manulife";"manulife";"manulife";"Life & Health Insurance";"Canada";28403;36187;"Canada";"Roy Gori";3703;517805;NA;NA;NA
"1163";646;646;"Mapfre";"mapfre";"mapfre";"Diversified Insurance";"Spain";25167;9168;"Spain";"Antonio Huertas Mejías";624;70198;NA;NA;NA
"1164";915;914;"Marathon Oil";"marathon-oil";"marathon-oil";"Oil & Gas Operations";"United States";5902;14445;"Texas";"Lee M. Tillman";1096;21321;"Texas";NA;NA
"1165";172;171;"Marathon Petroleum";"marathon-petroleum";"marathon-petroleum";"Oil & Gas Operations";"United States";96136;40231;"Ohio";"Gary R. R. Heminger";2779;92940;"Ohio";NA;NA
"1166";1098;1098;"Markel";"markel";"markel";"Diversified Insurance";"United States";7269;14070;"Virginia";"Thomas Sinnickson Gayner";-133;33755;"Virginia";NA;NA
"1167";1879;1879;"Marks & Spencer";"marks-spencer";"marks-spencer";"Department Stores";"United Kingdom";14166;5968;"United Kingdom";"Steve Rowe";39;9672;NA;NA;NA
"1168";1510;1508;"Maroc Telecom";"maroc-telecom";"no-pic";NA;"Morocco";3838;13435;"Morocco";"Abdeslam Ahizoune";640;6489;NA;NA;NA
"1169";411;411;"Marriott International";"marriott-international";"marriott-international";"Hotels & Motels";"United States";20758;45255;"Maryland";"Arne M. M. Sorenson";1907;23696;"Maryland";"http://specials-images.forbesimg.com/imageserve/5b2157d331358e612fbc075b/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5b2157d331358e612fbc075b/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1170";488;488;"Marsh & McLennan";"marsh-mclennan";"marsh-mclennan";"Insurance Brokers";"United States";14913;47569;"New York";"Daniel S. Glaser";1650;21578;"New York";NA;NA
"1171";1735;1735;"Martin Marietta Materials";"martin-marietta-materials";"martin-marietta-materials";"Construction Materials";"United States";4244;13219;"North Carolina";"C. Howard Nye";469;9716;"North Carolina";NA;NA
"1172";350;350;"Marubeni";"marubeni";"marubeni";"Trading Companies";"Japan";67841;12290;"Japan";"Teruo Asada";2373;63757;NA;NA;NA
"1173";1965;1965;"Marvell Technology Group";"marvell-technology-group";"no-pic";"Semiconductors";"Bermuda";2866;16379;"Bermuda";"Matt Murphy";-179;10017;NA;NA;NA
"1174";1196;1196;"Masco";"masco";"masco";"Construction Materials";"United States";8359;11784;"Michigan";"Keith J. Allman";729;5393;"Michigan";NA;NA
"1175";1468;1468;"Mashreq Bank";"mashreq-bank";"mashreq-bank";"Regional Banks";"United Arab Emirates";2651;3673;"United Arab Emirates";"Abdul Aziz Abdullah Al-Ghurair";561;38096;NA;NA;NA
"1176";1420;1420;"Masraf Al Rayan";"masraf-al-rayan";"masraf-al-rayan";"Regional Banks";"Qatar";969;7514;"Qatar";"Adel Mustafawi";585;26720;NA;NA;NA
"1177";334;334;"Mastercard";"mastercard";"mastercard";"Consumer Financial Services";"United States";14950;247132;"New York";"Ajay S. Banga";5859;24860;"New York";"http://specials-images.forbesimg.com/imageserve/5cd43649169cc600095ec1ae/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd43649169cc600095ec1ae/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1178";1603;1602;"Match Group";"match-group";"match-group";"Software & Programming";"United States";1730;16456;"Texas";"Amanda W. Ginsberg";478;2053;"Texas";NA;NA
"1179";1392;1392;"Materials Industry Zhongda Group";"materials-industry-zhongda-group";"no-pic";"Trading Companies";"China";45379;3886;"China";"Jida Chen";362;12544;NA;NA;NA
"1180";1386;1386;"Maxim Integrated Products";"maxim-integrated-products";"maxim-integrated-products";"Semiconductors";"United States";2497;16341;"California";"Tunç Doluca";717;3889;"California";"http://specials-images.forbesimg.com/imageserve/5a037f9b31358e542c04ff02/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5a037f9b31358e542c04ff02/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
