"";"position";"rank";"name";"uri";"imageUri";"industry";"country";"revenue";"marketValue";"headquarters";"ceo";"profits";"assets";"state";"thumbnail";"squareImage"
"185";135;135;"BBVA-Banco Bilbao Vizcaya";"bbva-banco-bilbao-vizcaya";"bbva-banco-bilbao-vizcaya";"Regional Banks";"Spain";28305;41641;"Spain";"Cristina De Parias";5535;773557;NA;"http://specials-images.forbesimg.com/imageserve/5cd1a3e55f8e4500093c5132/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd1a3e55f8e4500093c5132/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"186";341;341;"BCE";"bce";"bce";"Telecommunications services";"Canada";18106;40860;"Canada";"George Alexander Cope";2260;41807;NA;NA;NA
"187";1080;1080;"BCI-Banco Credito";"bci-banco-credito";"bci-banco-credito";"Major Banks";"Chile";3642;9347;"Chile";"Eugenio von Chrismar";616;59582;NA;NA;NA
"188";1018;1018;"BDO Unibank";"bdo-unibank";"bdo-unibank";"Regional Banks";"Philippines";3389;11157;"Philippines";"Nestor V. Tan";621;57487;NA;NA;NA
"189";109;109;"BHP Group";"bhp-group";"no-pic";"Diversified Metals & Mining";"Australia";42556;138278;"Australia";"Andrew Mackenzie";6030;102414;NA;"http://specials-images.forbesimg.com/imageserve/5d71256744f2b2000803bd7f/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d71256744f2b2000803bd7f/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"190";1920;1920;"BJ's Wholesale Club";"bjs-wholesale-club";"bjs-wholesale-club";"Discount Stores";"United States";13007;3934;"Massachusetts";"Christopher J. J. Baldwin";127;3239;"Massachusetts";"http://specials-images.forbesimg.com/imageserve/5b9190934bbe6f30c1b11fa6/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5b9190934bbe6f30c1b11fa6/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"191";57;57;"BMW Group";"bmw-group";"bmw-group";"Auto & Truck Manufacturers";"Germany";115002;57486;"Germany";"Harald Krüger";8396;238895;NA;"http://specials-images.forbesimg.com/imageserve/5cd1a43ef68bc400088edc16/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd1a43ef68bc400088edc16/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"192";1421;1421;"BNK Financial Group";"bnk-financial-group";"no-pic";"Regional Banks";"South Korea";3955;2038;"South Korea";"Ji-Wan Kim";437;88541;NA;NA;NA
"193";34;34;"BNP Paribas";"bnp-paribas";"bnp-paribas";"Major Banks";"France";101602;68712;"France";"Jean-Laurent Bonnafé";8446;2332982;NA;NA;NA
"194";641;641;"BOE Technology Group";"boe-technology-group";"boe-technology-group";"Electronics";"China";14525;20288;"China";"Yan Shun Chen";535;44282;NA;NA;NA
"195";1625;1625;"BOK Financial";"bok-financial";"bok-financial";"Regional Banks";"United States";1850;6235;"Oklahoma";"Steve Bradshaw";442;38168;"Oklahoma";NA;NA
"196";24;24;"BP";"bp";"bp";"Oil & Gas Operations";"United Kingdom";299065;149548;"United Kingdom";"Robert W. Dudley";9332;282176;NA;NA;NA
"197";1385;1384;"BPER Banca";"bper-banca";"no-pic";"Regional Banks";"Italy";2866;2262;"Italy";"Alessandro Vandelli";474;80746;NA;NA;NA
"198";275;275;"BT Group";"bt-group";"bt-group";"Telecommunications services";"United Kingdom";31467;29633;"United Kingdom";"Philip Eric Rene Jansen";2693;59982;NA;NA;NA
